Nombre,Empresa,Correo,Teléfono,Sitio web,Ciudad,Categoría,Notas
Inmobiliaria Sol Naciente,Sol Naciente SA de CV,contacto@solnaciente.mx,55 1234 5678,www.solnaciente.mx,Ciudad de México,Inmobiliaria,Interesados en departamentos de lujo
Bienes Raíces del Valle,BR del Valle,ventas@brvalle.com,33 2345 6789,brvalle.com,Guadalajara,Inmobiliaria,"Cliente potencial, llamar por la mañana"
Constructora Monterrey,Grupo CM,info@constructoramty.mx,81 3456 7890,,Monterrey,Constructora,
Departamentos Polanco,,polanco@deptos.mx,55 9876 5432,www.deptospolanco.mx,Ciudad de México,Inmobiliaria,Zona premium
Casas del Bajío,Casas Bajío SA,hola@casasbajio.mx,462 111 2233,casasbajio.mx,León,Inmobiliaria,"Manejan casas, terrenos y locales"
Renta Segura,Renta Segura MX,soporte@rentasegura.mx,55 4444 3333,rentasegura.mx,Ciudad de México,Administración,Administración de propiedades en renta
Terrenos Querétaro,,ventas@terrenosqro.mx,442 555 6677,,Querétaro,Terrenos,Lotes residenciales y comerciales
Grupo Inmobiliario Puebla,GIP,contacto@gippuebla.mx,222 888 9900,www.gippuebla.mx,Puebla,Inmobiliaria,
Villas del Mar Cancún,Villas del Mar,reservas@villasdelmar.mx,998 123 4567,villasdelmar.mx,Cancún,Inmobiliaria,"Propiedades vacacionales, alta temporada"
Oficinas Corporativas Santa Fe,OC Santa Fe,arrendamiento@ocsantafe.mx,55 7777 8888,ocsantafe.mx,Ciudad de México,Oficinas,Espacios corporativos y coworking
